Serial Number,Fp1,Fp2,AF3,AF4,F7,F3,Fz,F4,F8,FT7,FC3,FCz,FC4,FT8,T7,C3,Cz,C4,T8,TP7,CP3,CPz,CP4,TP8,P7,P3,Pz,P4,P8,O1,Oz,O2
1878068,10868.0,8761.35,10922.0,3950.76,26098.08,4805.45,12840.32,2456.37,12045.62,11259.15,12797.54,10242.51,-1334.0,19948.26,-398.04,4795.66,3973.92,9192.33,8874.27,9161.8,7582.07,7452.7,2100.44,22726.58,9456.75,5593.26,6182.4,4124.12,7795.66,6889.66,12231.01,7238.7
1878069,10879.53,8760.86,10931.48,3969.13,26100.13,4810.81,12849.53,2478.9,12046.29,11263.09,12801.78,10246.22,-1319.42,19940.04,-375.38,4798.96,3976.64,9197.25,8885.85,9188.89,7585.56,7453.82,2103.43,22729.76,9477.99,5603.18,6187.95,4127.16,7793.79,6913.93,12250.54,7243.66
1878070,10888.52,8768.05,10934.88,3967.57,26093.87,4808.22,12850.87,2486.32,12024.79,11259.29,12795.79,10240.94,-1315.67,19933.69,-411.41,4791.95,3970.92,9192.96,8886.61,9202.08,7583.99,7446.93,2097.98,22717.33,9488.4,5604.39,6180.66,4124.03,7789.45,6920.59,12250.99,7221.22
1878071,10884.76,8771.72,10927.54,3957.11,26085.38,4797.71,12839.38,2472.1,12040.97,11261.48,12783.36,10226.59,-1325.86,19925.1,-440.82,4776.52,3955.9,9183.35,8847.31,9184.02,7568.88,7430.26,2080.72,22709.51,9473.43,5583.78,6158.08,4097.79,7784.62,6880.14,12231.99,7198.87
1878072,10887.13,8787.99,10932.91,3966.72,26092.71,4802.67,12844.92,2478.32,12087.56,11276.41,12790.83,10233.93,-1321.61,19950.45,-421.15,4784.97,3965.38,9196.45,8882.4,9191.75,7579.39,7440.31,2093.82,22733.15,9488.94,5593.12,6167.79,4111.2,7793.96,6880.67,12220.95,7185.15
1878073,10884.72,8786.96,10932.46,3962.2,26095.84,4803.52,12844.7,2474.79,12070.79,11278.82,12790.88,10233.43,-1328.63,19946.52,-412.79,4785.96,3962.79,9190.28,8910.79,9190.05,7578.63,7440.14,2096.68,22746.88,9498.91,5594.73,6175.47,4124.84,7796.69,6897.12,12245.45,7233.96
1878074,10872.96,8774.67,10925.09,3950.54,26094.68,4798.38,12840.05,2462.76,12052.42,11273.5,12786.27,10230.8,-1333.1,19949.07,-410.69,4783.27,3960.01,9189.16,8883.21,9182.5,7573.58,7437.36,2098.2,22752.87,9482.73,5590.22,6173.1,4127.52,7805.05,6872.45,12232.48,7254.97
1878075,10871.17,8771.67,10927.77,3952.06,26101.47,4803.08,12845.95,2464.77,12060.33,11276.05,12792.22,10238.26,-1326.08,19959.26,-412.93,4791.23,3969.18,9199.93,8891.3,9191.62,7583.68,7448.14,2107.95,22759.26,9493.28,5608.28,6190.36,4137.98,7802.46,6904.1,12261.54,7284.39
1878076,10870.41,8764.83,10925.4,3946.92,26095.93,4801.15,12841.88,2458.92,12051.3,11268.59,12788.64,10235.36,-1333.77,19947.37,-415.61,4786.45,3964.8,9193.54,8912.04,9176.73,7577.82,7446.44,2106.83,22759.57,9486.44,5604.25,6191.57,4141.96,7802.28,6932.66,12295.83,7311.17
1878077,10886.91,8782.89,10934.97,3957.24,26098.17,4805.89,12848.72,2468.57,12058.99,11273.86,12791.64,10238.13,-1326.58,19953.31,-383.6,4790.29,3966.54,9197.07,8908.56,9171.1,7578.9,7445.23,2111.57,22763.82,9487.15,5600.77,6183.65,4147.05,7808.72,6915.45,12270.39,7304.73
1878078,10914.13,8812.09,10956.65,3978.43,26112.47,4820.82,12867.27,2492.8,12081.16,11290.67,12805.67,10250.6,-1304.09,19980.27,-371.49,4802.63,3979.95,9216.38,8924.92,9171.23,7591.1,7455.25,2126.9,22784.92,9500.39,5612.88,6192.24,4157.16,7803.93,6922.25,12265.52,7289.84
1878079,10926.87,8824.87,10964.6,3984.6,26116.4,4824.94,12870.4,2499.33,12077.77,11292.82,12807.5,10252.25,-1301.27,19979.46,-392.59,4800.08,3980.89,9217.05,8933.46,9177.31,7589.8,7454.71,2120.91,22789.44,9492.29,5609.89,6187.54,4142.94,7795.57,6911.56,12264.18,7263.56
1878080,10909.75,8807.21,10948.38,3970.07,26104.69,4808.93,12855.29,2485.02,12036.77,11275.25,12791.95,10237.41,-1315.27,19944.69,-406.67,4784.57,3966.59,9202.35,8931.35,9178.57,7575.72,7440.63,2107.9,22793.1,9488.18,5598.71,6177.93,4130.74,7795.44,6902.08,12258.5,7234.63
1878081,10894.64,8789.29,10931.66,3955.28,26089.09,4793.47,12840.05,2468.71,12035.21,11255.36,12778.54,10224.76,-1332.61,19920.9,-411.5,4774.91,3953.49,9183.12,8936.14,9177.54,7566.24,7428.07,2092.08,22769.5,9479.55,5585.57,6160.63,4117.01,7774.47,6874.46,12234.27,7229.63
1878082,10905.37,8800.73,10943.91,3968.6,26100.85,4806.65,12852.83,2479.03,12065.96,11262.6,12793.42,10239.07,-1320.59,19948.53,-402.78,4792.57,3968.24,9196.4,8927.78,9175.88,7584.39,7444.56,2103.48,22761.14,9496.23,5608.1,6180.66,4132.79,7787.71,6860.82,12232.44,7252.69
1878083,10893.21,8786.02,10933.27,3966.0,26093.61,4797.27,12846.31,2478.09,12062.66,11254.01,12784.48,10232.63,-1323.4,19950.76,-452.8,4782.78,3961.27,9197.21,8896.8,9123.4,7577.51,7437.86,2102.27,22760.69,9486.44,5602.82,6171.32,4126.85,7785.25,6830.2,12227.92,7272.05
1878084,10894.28,8784.28,10933.98,3970.7,26105.81,4798.25,12844.12,2476.04,12074.1,11258.35,12782.52,10234.64,-1324.16,19951.79,-454.59,4775.85,3960.86,9196.76,8916.38,9143.03,7570.8,7437.01,2098.65,22767.89,9496.72,5594.46,6168.1,4122.15,7781.72,6843.48,12194.8,7222.79
1878085,10929.11,8826.17,10967.87,4000.83,26135.36,4829.85,12873.98,2503.08,12105.39,11290.8,12810.81,10259.32,-1299.08,19976.02,-394.33,4802.18,3983.8,9216.34,8934.48,9210.98,7594.72,7461.95,2120.2,22762.75,9523.27,5625.08,6201.36,4152.46,7795.35,6904.36,12258.99,7293.24
1878086,10938.99,8842.48,10971.71,3999.22,26129.23,4826.9,12873.53,2505.14,12105.17,11285.75,12805.0,10253.46,-1302.39,19984.29,-399.43,4794.09,3977.22,9214.77,8937.75,9196.94,7583.1,7452.56,2120.78,22771.42,9488.54,5606.0,6187.9,4149.24,7783.01,6916.17,12262.79,7291.76
1878087,10959.51,8865.1,10983.87,4007.0,26128.88,4832.98,12882.61,2517.43,12111.02,11287.27,12809.74,10257.57,-1291.13,19990.1,-409.17,4796.77,3981.92,9224.3,8931.76,9192.29,7588.33,7456.54,2133.07,22787.74,9511.25,5616.95,6198.27,4165.69,7790.39,6945.58,12289.61,7289.35
1878088,10973.5,8880.3,10994.33,4013.75,26137.73,4841.07,12891.19,2529.23,12116.48,11303.81,12816.31,10263.21,-1278.48,19965.65,-397.5,4803.21,3987.46,9232.39,8951.25,9194.66,7592.71,7462.22,2141.21,22845.36,9515.81,5624.64,6208.24,4172.89,7793.79,6963.37,12327.7,7334.23
1878089,10996.88,8903.06,11016.77,4034.18,26170.67,4861.95,12909.83,2545.55,12136.59,11329.92,12837.68,10284.84,-1260.91,19938.96,-378.73,4826.01,4009.05,9247.32,8964.97,9213.12,7616.49,7481.4,2151.94,22832.58,9513.04,5644.53,6216.51,4177.63,7804.96,6933.33,12297.75,7313.0
